Timecode List:,00:00:08.033,00:00:11.433,00:00:13.000,00:00:14.300,00:00:18.067,00:00:25.400,00:00:29.967,00:00:33.533,00:00:34.933,00:00:36.433,00:00:39.333,00:00:41.000,00:00:42.667,00:00:44.633,00:00:45.833
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,241,00:00:08.033,8.033,241,00:00:08.033,8.033
2,242,00:00:08.033,8.033,343,00:00:11.433,11.433,102,00:00:03.400,3.400
3,344,00:00:11.433,11.433,390,00:00:13.000,13.000,47,00:00:01.567,1.567
4,391,00:00:13.000,13.000,429,00:00:14.300,14.300,39,00:00:01.300,1.300
5,430,00:00:14.300,14.300,542,00:00:18.067,18.067,113,00:00:03.767,3.767
6,543,00:00:18.067,18.067,762,00:00:25.400,25.400,220,00:00:07.333,7.333
7,763,00:00:25.400,25.400,899,00:00:29.967,29.967,137,00:00:04.567,4.567
8,900,00:00:29.967,29.967,1006,00:00:33.533,33.533,107,00:00:03.567,3.567
9,1007,00:00:33.533,33.533,1048,00:00:34.933,34.933,42,00:00:01.400,1.400
10,1049,00:00:34.933,34.933,1093,00:00:36.433,36.433,45,00:00:01.500,1.500
11,1094,00:00:36.433,36.433,1180,00:00:39.333,39.333,87,00:00:02.900,2.900
12,1181,00:00:39.333,39.333,1230,00:00:41.000,41.000,50,00:00:01.667,1.667
13,1231,00:00:41.000,41.000,1280,00:00:42.667,42.667,50,00:00:01.667,1.667
14,1281,00:00:42.667,42.667,1339,00:00:44.633,44.633,59,00:00:01.967,1.967
15,1340,00:00:44.633,44.633,1375,00:00:45.833,45.833,36,00:00:01.200,1.200
16,1376,00:00:45.833,45.833,1509,00:00:50.300,50.300,134,00:00:04.467,4.467
